-------Based on SHORE features 1st minute---------																																																																																				
"['S1_Angry_avg', 'S1_ Happy_avg', 'S1_ MouthOpen_avg', 'S1_ Sad_avg', 'S1_ Score_avg', 'S1_ Surprised_avg', 'S1_Angry_var', 'S1_ Happy_var', 'S1_ MouthOpen_var', 'S1_ Sad_var', 'S1_ Score_var', 'S1_ Surprised_var']"																																																																																				
  	S1_Angry_avg 	S1_ Happy_avg 	S1_ MouthOpen_avg 	S1_ Sad_avg 	S1_ Surprised_avg 	S1_Angry_var 	S1_ Happy_var 	S1_ MouthOpen_var 	S1_ Sad_var 	S1_ Surprised_var 																																																																										
"['S1_ AU01_r_avg', 'S1_ AU02_r_avg', 'S1_ AU04_r_avg', 'S1_ AU05_r_avg', 'S1_ AU06_r_avg', 'S1_ AU07_r_avg', 'S1_ AU09_r_avg', 'S1_ AU10_r_avg', 'S1_ AU12_r_avg', 'S1_ AU14_r_avg', 'S1_ AU15_r_avg', 'S1_ AU17_r_avg', 'S1_ AU20_r_avg', 'S1_ AU23_r_avg', 'S1_ AU25_r_avg', 'S1_ AU26_r_avg', 'S1_ AU45_r_avg', 'S1_ AU01_c_avg', 'S1_ AU02_c_avg', 'S1_ AU04_c_avg', 'S1_ AU05_c_avg', 'S1_ AU06_c_avg', 'S1_ AU07_c_avg', 'S1_ AU09_c_avg', 'S1_ AU10_c_avg', 'S1_ AU12_c_avg', 'S1_ AU14_c_avg', 'S1_ AU15_c_avg', 'S1_ AU17_c_avg', 'S1_ AU20_c_avg', 'S1_ AU23_c_avg', 'S1_ AU25_c_avg', 'S1_ AU26_c_avg', 'S1_ AU28_c_avg', 'S1_ AU45_c_avg', 'S1_abs_d_pose_Rx_avg', 'S1_ gaze_0_x_var', 'S1_ gaze_0_y_var', 'S1_ gaze_0_z_var', 'S1_ gaze_1_x_var', 'S1_ gaze_1_y_var', 'S1_ gaze_1_z_var', 'S1_ pose_Tx_var', 'S1_ pose_Ty_var', 'S1_ pose_Tz_var', 'S1_ pose_Rx_var', 'S1_ pose_Ry_var', 'S1_ pose_Rz_var', 'S1_ AU01_r_var', 'S1_ AU02_r_var', 'S1_ AU04_r_var', 'S1_ AU05_r_var', 'S1_ AU06_r_var', 'S1_ AU07_r_var', 'S1_ AU09_r_var', 'S1_ AU10_r_var', 'S1_ AU12_r_var', 'S1_ AU14_r_var', 'S1_ AU15_r_var', 'S1_ AU17_r_var', 'S1_ AU20_r_var', 'S1_ AU23_r_var', 'S1_ AU25_r_var', 'S1_ AU26_r_var', 'S1_ AU45_r_var', 'S1_ AU01_c_var', 'S1_ AU02_c_var', 'S1_ AU04_c_var', 'S1_ AU05_c_var', 'S1_ AU06_c_var', 'S1_ AU07_c_var', 'S1_ AU09_c_var', 'S1_ AU10_c_var', 'S1_ AU12_c_var', 'S1_ AU14_c_var', 'S1_ AU15_c_var', 'S1_ AU17_c_var', 'S1_ AU20_c_var', 'S1_ AU23_c_var', 'S1_ AU25_c_var', 'S1_ AU26_c_var', 'S1_ AU28_c_var', 'S1_ AU45_c_var', 'S1_abs_d_pose_Rx_var']"																																																																																				
  	S1_ AU01_r_avg 	S1_ AU02_r_avg 	S1_ AU04_r_avg 	S1_ AU05_r_avg 	S1_ AU06_r_avg 	S1_ AU07_r_avg 	S1_ AU09_r_avg 	S1_ AU10_r_avg 	S1_ AU12_r_avg 	S1_ AU14_r_avg 	S1_ AU15_r_avg 	S1_ AU17_r_avg 	S1_ AU20_r_avg 	S1_ AU23_r_avg 	S1_ AU25_r_avg 	S1_ AU26_r_avg 	S1_ AU45_r_avg 	S1_ AU01_c_avg 	S1_ AU02_c_avg 	S1_ AU04_c_avg 	S1_ AU05_c_avg 	S1_ AU06_c_avg 	S1_ AU07_c_avg 	S1_ AU09_c_avg 	S1_ AU10_c_avg 	S1_ AU12_c_avg 	S1_ AU14_c_avg 	S1_ AU15_c_avg 	S1_ AU17_c_avg 	S1_ AU20_c_avg 	S1_ AU23_c_avg 	S1_ AU25_c_avg 	S1_ AU26_c_avg 	S1_ AU28_c_avg 	S1_ AU45_c_avg 	S1_abs_d_pose_Rx_avg 	S1_ gaze_0_x_var 	S1_ gaze_0_y_var 	S1_ gaze_0_z_var 	S1_ gaze_1_x_var 	S1_ gaze_1_y_var 	S1_ gaze_1_z_var 	S1_ pose_Tx_var 	S1_ pose_Ty_var 	S1_ pose_Tz_var 	S1_ pose_Rx_var 	S1_ pose_Ry_var 	S1_ pose_Rz_var 	S1_ AU01_r_var 	S1_ AU02_r_var 	S1_ AU04_r_var 	S1_ AU05_r_var 	S1_ AU06_r_var 	S1_ AU07_r_var 	S1_ AU09_r_var 	S1_ AU10_r_var 	S1_ AU12_r_var 	S1_ AU14_r_var 	S1_ AU15_r_var 	S1_ AU17_r_var 	S1_ AU20_r_var 	S1_ AU23_r_var 	S1_ AU25_r_var 	S1_ AU26_r_var 	S1_ AU45_r_var 	S1_ AU01_c_var 	S1_ AU02_c_var 	S1_ AU04_c_var 	S1_ AU05_c_var 	S1_ AU06_c_var 	S1_ AU07_c_var 	S1_ AU09_c_var 	S1_ AU10_c_var 	S1_ AU12_c_var 	S1_ AU14_c_var 	S1_ AU15_c_var 	S1_ AU17_c_var 	S1_ AU20_c_var 	S1_ AU23_c_var 	S1_ AU25_c_var 	S1_ AU26_c_var 	S1_ AU28_c_var 	S1_ AU45_c_var 	S1_abs_d_pose_Rx_var 
csrsconv 	0	0	0	0	-0.270708084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281212476	0	0	0	0	0	-0.953892114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116811682	0.270766227	0	0	0	0	0	0	0	0	0	0.127034328	0	0	0	0	0	0	0	0.111295502	0	0	0	0	0	0	0	0	0	1.158047331	0	0	0
csrskill 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185527032	0	0	0	0	0	-0.641564131	0	0	0.079680749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355802958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.902280375	0	0	0
csrscomp 	0	0	-0.120678846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138658222	0	0	0	0	0	0	0.06865263	0	0	0	0	-0.174672244	0	0	0	0	0	0	0	0	0.17457629	0.073629076	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210940577	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197661066	0	0	0	0	0	0	0
csrsappr 	0.298157979	0	0	0	-0.200680541	0	0	0	0	0	0	0	0	0	0.088241031	0	0	-0.165680237	0	0	0	0.448151049	0	-0.246897536	0	0	0	0	0	0	0	0	0	0.113103251	0	0	0	0	0	0	0	-0.269240876	0.074098337	0	0	0	0	0	0	0	0	0	0	-0.032161492	0	0	0	0	0	0	0	0	0	0	0.107992266	0	0	0	0	-0.113166958	0	0	0	0	-0.088662642	0	0.208943832	0	0	0	0	0	0	0
csrseffect 	0	0	0	0	0	0	0	-0.035012809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239132501	0	0	0	0	0	-0.666765941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164488909	0	0	0	0	0	0	0.13034905	0	0	0	0	0	0	0	0	0	0	0.824313417	0	0	0
csvoclcn 	0	0	0	-0.374018295	0	0	0	-0.145201232	0	0	0.117808881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249829117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111047529	0	0	0.238676657	0	0	0	0	0	0	0	0	0	0	0.295321437	0	0	0	0	0	0	-0.144031471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csnoddin 	0	0	0	0	0	0	0	0	0	0	0	0.073505216	0	0	0	0	0	0	0	0	0	0	0	1.29139764	0	0	0.29328335	0	0	0	-0.077077152	0	-1.073761857	0	-0.196060597	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118116165	0	0	0	0	0	0	-0.213223676	0.211744729	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144202237	-1.456951845	0	0	0	0	0	0	0	0	1.240541549	0	0.309905434	0
csgestur 	0	0	0	-0.332729842	0	0	0	0	0	0	0	0	0	0.195663124	0	0	0	0	0	0	0	0	0	0	0	0	0.116549272	0	0	0	0	0	0	0	-0.220902908	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136932895	0	0	0.266686927	0	0	0	0	0	0	0	0	0	0	0.163652003	0	0	0	0	0	0	0	0	0	0	-0.173099049	0	0	0	0	0.129708461	0	0.162322473	0	0.451256106	0
cshumor 	0	0.238344561	0	-0.511171226	0	0	0.160278872	0	0	0.363872531	0	0	0	0.375102719	0	0	0	0	0	0	0	0	0	0	0	0	0.054402604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142515538	0	0	0	0	0	0	-0.066064049	0	0	0.325571539	0	0	0	0	0	-0.279425435	0	0	0.192630374	-0.210646293	0.394020904	0	0	0	0	0	0	-0.340376483	0.323065647	-0.328772016	0	0	0	0	0	0	0	0	0.256790801	0	0	0
cssmilin 	0	0	0	-0.189956272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.027707883	0.236760208	0.249532242	0	0	0.123277453	0	0	-0.656934095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07594576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250519104	0	0	0	0	0	0	0	0.17979286	0	0	0	0	0	0	0	0	0	0.849363236	0	0	0
csquestn 	0	0.263236721	0	-0.326020686	0	0	0.178934038	0	0	0	0	0.17022419	0	0	0	0	0	0	-0.136666586	0	0	0	0.165679919	-0.260751225	0	0	0.466863303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.100469037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220306359	0	0.128459927	0	0	0	0.134342613	0	0	0
csstartn 	0	0.144796727	0	-0.472074561	0	0	0	0	0	0	0	0	0.152800387	0	0	0	0	0	0	0	0	0	0	-0.103824882	0	0	0.416520376	-0.157709457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.123322281	0.259666964	0	0	0	0	0.170678517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16860233	0	0.291226599	0	0	0	0.1461973	0	0	0
cspostur 	0	0	0	-0.091799438	0	0	0	0.099301067	0	0	0	0.235311474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124734474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.274439019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296044986	0	0	0	0	-0.146840351	0	0	0	0	0	0	0.081677304	0	0	0	0	0.139682639	0	0
cseyecon 	0	0	0	-0.312097215	0.057065697	0	0	0	0	0	0	0.263594105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044751024	0	0	-0.172794469	0	0	0	0	0	0	0.221406432	0	0	0	0	0	0	0	0	-0.201631001	-0.369358197	0	0	0	0	0.257690838	0	0	0	0	0	0	0	0	0	0.276802632	0	0	0.283802923	0	0	0	0	0	0	-0.244303094	0	0	0	0	0	0	0	0	0	0	0	0
Raliked 	0	0	0	-0.201325912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.34027923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303920119	0	0	0	0	0	0	0.197073021	0	0	0	0	0	0	0	0.458912355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.147971826	0.11853949	0	0	0.118465551
Raattrac 	0	0	0	0	0	-0.241508607	0	0	-0.131366653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.107684316	0	0	0	-0.257866749	0	0	0	0	0	0	0	0	0.295004592	0	0	0	0	0	0	0	0	0.275003673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148653255	0	0	0	0	0	0	0	0.176831153	0	0	0.108548757
Rayessin 	0	0.175113038	0	0	0	-0.279286227	0	-0.055815591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183658024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19849894	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2143986	0	0	0	0	0	0	0	0	0	0.231907539	0	0	0.111059696
Raconect 	0	0	0	0	0	0	0	-0.085416666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.087707244	0	0	0.195315553	0	0	0	-0.189392654	-0.125231594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27879207	-0.222296959	0	0	0	0	0	0	0	0	0.337501743	0	0	0	0	0	0	0	0.15031664	0	0	0	0	0	0	0	0	0	0.259319035	0	0	0.107387293
Racommon 	-0.075155129	0	0	0	0	0	0	0	-0.318279936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2914286	0.203649681	0	0	0	-0.125183761	0	0	0	0	0.130407317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269121076	0	0	0	0	0	0	0	0.117789259	0	0	0	0	0	0	0	0	0	0.24185636	0	0	0
Rasimlar 	0	0.165252769	0	0	0	-0.065394697	0	0	0	0	0	0	0	0	0.230474002	0	0	0	0	0	0	0	0	0.723318858	-0.038741079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188365896	0	0	0	0	0	0	0	0	-0.90379496	0	0	0	0	0	0	0	0	0.178348092	0	0	0.143983531
Rasmooth 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39025289	0	0	0	0	0	-0.75436621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138859462	0	0	0	0	0	0	0	0	-0.194299861	0	0	0	0.11382941	0	0	0	0	0	0	0	0	0	0	1.016428399	0	0	0
Ra_avg	-0.115427726	0	0.096011523	0	0	0	0.126321885	-0.174735549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.251718842	0	0	0	0	0	0	0	0	0.28387549	0	0	0	0	0.167116542	0	0	0	0.115474007	0	0	0	0	0	0.245791352	0	0	0	0	0	0	0	0	-0.271606162	0	0	-0.075205582	0	0	0	0	0	0.184950291	0	0	0.053501315
 																																																																																				
-------Openface AU features of middle ---------																																																																																				
